,V1,V2,V3,V4,V5
1,0.120685374,0.12136515,0.122375543,0.125511121,0.128617035
2,0.120517317,0.121130988,0.122693834,0.125742088,0.128953598
3,0.120419405,0.120724737,0.122765682,0.125852943,0.129177721
4,0.120247022,0.120600505,0.12281632,0.126065778,0.129341069
5,0.13855716,0.133733237,0.132127441,0.133623558,0.13898369
6,0.138704691,0.133715606,0.132354563,0.133834581,0.139235463
7,0.138569779,0.133437668,0.132240474,0.134000506,0.139428132
8,0.138740398,0.133437878,0.132320392,0.134145102,0.139836554
9,0.149036048,0.140608665,0.13735049,0.141103043,0.146609953
10,0.148814836,0.140941497,0.137479767,0.141202632,0.146879532
11,0.148717743,0.141030207,0.137491082,0.141012104,0.146706534
12,0.148366189,0.140687489,0.137740047,0.141334351,0.146927924
13,0.155682211,0.146093873,0.141671489,0.147506042,0.152125741
14,0.155313224,0.146410847,0.141845774,0.14722718,0.151443455
15,0.155355666,0.14652723,0.14189585,0.147374082,0.150905571
16,0.154817444,0.146099043,0.141936763,0.14739794,0.150451851
,,,,,
,,,,,
,gamma,cost,eps,,
,1,10,0.01,,
